"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count
1513,"CAVA EXTRA DRY",cava-extra-dry,,,,,2
1535,"PINEAPPLE GOLD",pineapple-gold,,,,,2
1544,"TROPICAL MOSCATO",tropical-moscato,,,,,2
1546,"PEACH MOSCATO",peach-moscato,,,,,13
1548,"STRAWBERRY MOSCATO",strawberry-moscato,,,,,8
2982,"WHITE GRENACHE",white-grenache,,,,,
3021,"HABANERO LIME-ARITA",habanero-lime-arita,,,,,
3025,COCONUT,coconut,,,,,
3061,GINGERSNAP,gingersnap,,,,,
3065,"HARVEST RED",harvest-red,,,,,
3149,"GREEN APPLE",green-apple,,,,,2
3153,"MANGO CITRUS",mango-citrus,,,,,
3159,GRAPEFRUIT,grapefruit,,,,,
3213,"RED GIFT BASKET",red-gift-basket,,,,,
3297,GRENACH/SYRAH/MERLOT,grenach-syrah-merlot,,,,,
3305,"SWEET SHIRAZ",sweet-shiraz,,,,,
3329,CHIFFON,chiffon,,,,,
3333,"CNV-VODKA FLAVOR MIXED BERRY",cnv-vodka-flavor-mixed-berry,,,,,
3359,"SPARKLING PINOT GRIG",sparkling-pinot-grig,,,,,
3405,"SPARKLED WATERMELON PUNCH",sparkled-watermelon-punch,,,,,
3423,"PETITE SIRAH/MERLOT",petite-sirah-merlot,,,,,
3455,CHARD/PIG/PINOT,chard-pig-pinot,,,,,
3539,"ROASTED OAK BUTTERY CHARDONNAY",roasted-oak-buttery-chardonnay,,,,,4
3581,"CABERNET PETIT VERDOT",cabernet-petit-verdot,,,,,3
3635,"BUBBLY ROSE",bubbly-rose,,,,,5
3639,"BUBBLY BRUT",bubbly-brut,,,,,1
3649,"PROSECCO ROSE",prosecco-rose,,,,,15
3847,MANGO,mango,,,,,13
4006,"MANGO MOSCATO",mango-moscato,,,,,1
4109,"TROPICAL PINOT GRIGIO",tropical-pinot-grigio,,,,,4
4113,"WILD BERRY MOSCATO",wild-berry-moscato,,,,,2
4146,"SWEET STRAWBERRY ROSE",sweet-strawberry-rose,,,,,2
4150,"SWEET PEACH",sweet-peach,,,,,3
4190,BRUT,brut,,,,,4
4244,"WHITE ZINFANDEL CHARDONNAY",white-zinfandel-chardonnay,,,,,7
4250,"CHENIN BLANC",chenin-blanc,,,,,22
4324,"RED TABLE WINE",red-table-wine,,,,,28
4391,"Mango Moscato OTS",mango-moscato-ots,,,,,3
4394,"Watermelon Moscato OTS",watermelon-moscato-ots,,,,,3
4454,"MOSCATO RED",moscato-red,,,,,24
4558,"SMITH RED",smith-red,,,,,2
4572,"WHITE ZINFANDEL MOSCATO",white-zinfandel-moscato,,,,,24
4620,"SPICY RED BLEND",spicy-red-blend,,,,,1
4640,"TEMPRANILLO ROSE",tempranillo-rose,,,,,3
5004,"SWEETS WATERMALON MOSCATO",sweets-watermalon-moscato,,,,,
5008,"BERRY MOSCATO",berry-moscato,,,,,2
5052,"BUTTERY CHARDONNAY",buttery-chardonnay,,,,,2
5057,"STRAWBERRY ROSE LEMONADE",strawberry-rose-lemonade,,,,,3
5062,"MOSCATO LEMONADE",moscato-lemonade,,,,,6
5079,"SWEETS WATERMELON MOSCATO",sweets-watermelon-moscato,,,,,1
5179,"CHARDONNAY CHAMOMILE TEA",chardonnay-chamomile-tea,,,,,1
5184,"ROSE HIBISCUS TEA",rose-hibiscus-tea,,,,,1
5188,"SAUVIGNON BLANC GREEN TEA",sauvignon-blanc-green-tea,,,,,1
