"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count
5319,"RANCHO LA GLORIA",rancho-la-gloria,,,,,106
5419,SUNSCAPE,sunscape,,,,,16
5447,"COASTAL VIBES",coastal-vibes,,,,,10
5473,ARTISTA,artista,,,,,2
5479,"LA VIDA BONITA",la-vida-bonita,,,,,2
5485,"LUNA DE ORO",luna-de-oro,,,,,7
5549,"UNO MAS",uno-mas,,,,,16
5611,"SOL RITA",sol-rita,,,,,2
5631,AGAVIDA,agavida,,,,,4
5759,"SUNSHINE BLISS",sunshine-bliss,,,,,11
5773,"BELLA MONTAGA",bella-montaga,,,,,
5777,"REBEL CLONE",rebel-clone,,,,,1
5801,"BRICK AND COLE",brick-and-cole,,,,,1
5805,"TIME &amp; TERRITORY",time-territory,,,,,3
5811,"FOG LANE",fog-lane,,,,,1
5815,"SILVER SPIRIT",silver-spirit,,,,,2
5837,"PINE CREST",pine-crest,,,,,2
5841,MOMENTAL,momental,,,,,1
5845,"IVY RIDGE",ivy-ridge,,,,,2
5849,"BELLA FIGURA",bella-figura,,,,,2
5853,"BLOCK 437",block-437,,,,,1
5915,"BELLA MONTAGNA",bella-montagna,,,,,1
5917,"PLAYA CANTINA",playa-cantina,,,,,3
5925,CURSIVE,cursive,,,,,2
5957,EARTHGROWN,earthgrown,,,,,3
5965,"EDEN LANE",eden-lane,,,,,6
5985,"MERGING BRANDS-TRADEMARKS",merging-brands-trademarks,,,,,3
5989,"CHARLES SMITH",charles-smith,,,,,70
5995,"7 MOONS",7-moons,,,,,16
6019,"MONKEY BAY",monkey-bay,,,,,14
6023,"THE DREAMING TREE",the-dreaming-tree,,,,,44
6031,"COOPER AND THIEF",cooper-and-thief,,,,,14
6093,"CRAFTERS UNION",crafters-union,,,,,14
6145,"RISE + FALL",rise-fall,,,,,2
6155,"OPEN SKIES",open-skies,,,,,8
6215,ACQUISITION,acquisition,,,,,2
6219,"SCREEN PRESS",screen-press,,,,,3
6223,NARRATIVE,narrative,,,,,1
